Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v0/teas/4471,1,0,71.87966600758955,71.87966600758955,71.87966600758955,71.87966600758955,128.0,0.016810592220491145,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/api/v0/teas/4516,1,0,98.17579100490548,98.17579100490548,98.17579100490548,98.17579100490548,127.0,0.016810592220491145,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v0/teas/4559,1,0,12.174875009804964,12.174875009804964,12.174875009804964,12.174875009804964,129.0,0.016810592220491145,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v0/teas/4570,1,0,233.00745800952427,233.00745800952427,233.00745800952427,233.00745800952427,132.0,0.016810592220491145,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v0/teas/4576,1,0,159.08370897523127,159.08370897523127,159.08370897523127,159.08370897523127,128.0,0.016810592220491145,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v0/teas/4598,1,0,9.371833002660424,9.371833002660424,9.371833002660424,9.371833002660424,130.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/462,1,0,179.95225000777282,179.95225000777282,179.95225000777282,179.95225000777282,127.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v0/teas/4659,1,0,8.250332990428433,8.250332990428433,8.250332990428433,8.250332990428433,129.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/4819,1,0,12.109875009628013,12.109875009628013,12.109875009628013,12.109875009628013,130.0,0.016810592220491145,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v0/teas/4821,1,0,29.505290993256494,29.505290993256494,29.505290993256494,29.505290993256494,128.0,0.016810592220491145,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/v0/teas/4875,1,0,38.64029099349864,38.64029099349864,38.64029099349864,38.64029099349864,129.0,0.016810592220491145,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/v0/teas/4889,1,0,9.001208993140608,9.001208993140608,9.001208993140608,9.001208993140608,132.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/4895,1,0,9.793583012651652,9.793583012651652,9.793583012651652,9.793583012651652,137.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/4904,1,0,251.05579200317152,251.05579200317152,251.05579200317152,251.05579200317152,133.0,0.016810592220491145,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/v0/teas/4919,1,0,70.79124997835606,70.79124997835606,70.79124997835606,70.79124997835606,134.0,0.016810592220491145,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/v0/teas/5015,1,0,67.09670799318701,67.09670799318701,67.09670799318701,67.09670799318701,134.0,0.016810592220491145,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/v0/teas/5059,1,0,140.26404201285914,140.26404201285914,140.26404201285914,140.26404201285914,136.0,0.016810592220491145,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v0/teas/509,1,0,17.154375003883615,17.154375003883615,17.154375003883615,17.154375003883615,128.0,0.016810592220491145,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v0/teas/5096,1,0,53.18141600582749,53.18141600582749,53.18141600582749,53.18141600582749,128.0,0.016810592220491145,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/v0/teas/5137,1,0,7.592999987537041,7.592999987537041,7.592999987537041,7.592999987537041,132.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/5139,1,0,7.915708993095905,7.915708993095905,7.915708993095905,7.915708993095905,136.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/5150,1,0,55.40066698449664,55.40066698449664,55.40066698449664,55.40066698449664,128.0,0.016810592220491145,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/api/v0/teas/5180,2,0,22,39.85270799603313,21.796249988256022,57.90916600381024,129.0,0.03362118444098229,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/v0/teas/5186,1,0,96.53587499633431,96.53587499633431,96.53587499633431,96.53587499633431,132.0,0.016810592220491145,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/api/v0/teas/5207,1,0,200.91262500500306,200.91262500500306,200.91262500500306,200.91262500500306,132.0,0.016810592220491145,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/v0/teas/5242,1,0,665.4791249893606,665.4791249893606,665.4791249893606,665.4791249893606,130.0,0.016810592220491145,0.0,670,670,670,670,670,670,670,670,670,670,670
