Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699222764,18,GET,/api/v0/teas,1.857143,0.000000,24,30,32,38,40,64,68,68,68,68,68,26,0,24,28.608841304398645,11.216667015105486,67.63674999820068,2415.0
1699222764,18,GET,/api/v0/teas/1042,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0
1699222764,18,GET,/api/v0/teas/1436,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,9.215291996952146,9.215291996952146,9.215291996952146,9.215291996952146,127.0
1699222764,18,GET,/api/v0/teas/2939,0.000000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
1699222764,18,GET,/api/v0/teas/5925,0.142857,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222764,18,GET,/api/v0/teas/6599,0.142857,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222764,18,GET,/api/v0/teas/6955,0.142857,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222764,18,GET,/api/v0/teas/7132,0.142857,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222764,18,GET,/api/v0/teas/7200,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,106.2819579965435,106.2819579965435,106.2819579965435,106.2819579965435,129.0
1699222764,18,GET,/api/v0/teas/7407,0.000000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,11.674624984152615,11.674624984152615,11.674624984152615,11.674624984152615,127.0
1699222764,18,GET,/api/v0/teas/7659,0.142857,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222764,18,GET,/api/v0/teas/7756,0.142857,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222764,18,GET,/api/v0/teas/8418,0.142857,0.000000,24,24,24,24,24,24,24,24,24,24,24,1,0,24.040292017161846,24.040292017161846,24.040292017161846,24.040292017161846,138.0
1699222764,18,GET,/api/v0/teas/9794,0.142857,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222764,18,POST,/api/v0/unsubscribe,0.142857,0.000000,13,13,13,13,13,13,13,13,13,13,13,1,0,13.491291989339516,13.491291989339516,13.491291989339516,13.491291989339516,22.0
1699222764,18,,Aggregated,3.571429,0.000000,24,30,35,39,46,64,110,110,110,110,110,44,0,24,29.55850563408934,8.0713749921415,106.2819579965435,1467.9772727272727
1699222765,20,POST,/api/v0/customer,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.637375028338283,13.637375028338283,13.637375028338283,13.637375028338283,10346.0
1699222765,20,POST,/api/v0/subscribe,0.375000,0.000000,22,32,32,43,43,43,43,43,43,43,43,5,0,22,26.693666400387883,16.530875000171363,43.22395799681544,22.0
1699222765,20,GET,/api/v0/teas,2.375000,0.000000,24,30,32,35,40,64,68,68,68,68,68,27,0,24,28.183280811558856,11.216667015105486,67.63674999820068,2415.0
1699222765,20,GET,/api/v0/teas/1042,0.000000,0.000000,27,27,27,27,27,27,27,27,27,27,27,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0
1699222765,20,GET,/api/v0/teas/1436,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,1,0,9.215291996952146,9.215291996952146,9.215291996952146,9.215291996952146,127.0
1699222765,20,GET,/api/v0/teas/1598,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,37.86458299146034,37.86458299146034,37.86458299146034,37.86458299146034,128.0
1699222765,20,GET,/api/v0/teas/195,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,14.92308298475109,14.92308298475109,14.92308298475109,14.92308298475109,127.0
1699222765,20,GET,/api/v0/teas/2939,0.125000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
1699222765,20,GET,/api/v0/teas/5925,0.125000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222765,20,GET,/api/v0/teas/6599,0.125000,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222765,20,GET,/api/v0/teas/6955,0.125000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222765,20,GET,/api/v0/teas/7132,0.125000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222765,20,GET,/api/v0/teas/7200,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,106.2819579965435,106.2819579965435,106.2819579965435,106.2819579965435,129.0
1699222765,20,GET,/api/v0/teas/7407,0.125000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,11.674624984152615,11.674624984152615,11.674624984152615,11.674624984152615,127.0
1699222765,20,GET,/api/v0/teas/7467,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,16.47408402641304,16.47408402641304,16.47408402641304,16.47408402641304,136.0
1699222765,20,GET,/api/v0/teas/7659,0.125000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222765,20,GET,/api/v0/teas/7756,0.125000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222765,20,GET,/api/v0/teas/8418,0.125000,0.000000,24,24,24,24,24,24,24,24,24,24,24,1,0,24.040292017161846,24.040292017161846,24.040292017161846,24.040292017161846,138.0
1699222765,20,GET,/api/v0/teas/9794,0.125000,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222765,20,POST,/api/v0/unsubscribe,0.125000,0.000000,13,13,13,13,13,13,13,13,13,13,13,2,0,10.054749989649281,11.773020989494398,10.054749989649281,13.491291989339516,22.0
1699222765,20,,Aggregated,4.125000,0.000000,23,30,32,38,46,64,110,110,110,110,110,51,0,23,28.045481155334297,8.0713749921415,106.2819579965435,1525.235294117647
1699222766,22,POST,/api/v0/customer,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.637375028338283,13.637375028338283,13.637375028338283,13.637375028338283,10346.0
1699222766,22,POST,/api/v0/subscribe,0.444444,0.000000,22,32,32,43,43,43,43,43,43,43,43,5,0,22,26.693666400387883,16.530875000171363,43.22395799681544,22.0
1699222766,22,GET,/api/v0/teas,2.555556,0.000000,23,30,35,35,40,100,120,120,120,120,120,35,0,23,31.72167254129558,11.216667015105486,117.97158300760202,2415.0
1699222766,22,GET,/api/v0/teas/1042,0.111111,0.000000,27,27,27,27,27,27,27,27,27,27,27,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0
1699222766,22,GET,/api/v0/teas/1436,0.111111,0.000000,9,9,9,9,9,9,9,9,9,9,9,1,0,9.215291996952146,9.215291996952146,9.215291996952146,9.215291996952146,127.0
1699222766,22,GET,/api/v0/teas/1598,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,37.86458299146034,37.86458299146034,37.86458299146034,37.86458299146034,128.0
1699222766,22,GET,/api/v0/teas/195,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,14.92308298475109,14.92308298475109,14.92308298475109,14.92308298475109,127.0
1699222766,22,GET,/api/v0/teas/2406,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,31.64620799361728,31.64620799361728,31.64620799361728,31.64620799361728,136.0
1699222766,22,GET,/api/v0/teas/2939,0.111111,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
1699222766,22,GET,/api/v0/teas/5267,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,67.00783397536725,67.00783397536725,67.00783397536725,67.00783397536725,128.0
1699222766,22,GET,/api/v0/teas/5925,0.111111,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222766,22,GET,/api/v0/teas/6599,0.111111,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222766,22,GET,/api/v0/teas/6955,0.111111,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222766,22,GET,/api/v0/teas/7132,0.111111,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222766,22,GET,/api/v0/teas/7200,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,1,0,106.2819579965435,106.2819579965435,106.2819579965435,106.2819579965435,129.0
1699222766,22,GET,/api/v0/teas/7407,0.111111,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,11.674624984152615,11.674624984152615,11.674624984152615,11.674624984152615,127.0
1699222766,22,GET,/api/v0/teas/7467,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,16.47408402641304,16.47408402641304,16.47408402641304,16.47408402641304,136.0
1699222766,22,GET,/api/v0/teas/7659,0.111111,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222766,22,GET,/api/v0/teas/7756,0.111111,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222766,22,GET,/api/v0/teas/8418,0.111111,0.000000,24,24,24,24,24,24,24,24,24,24,24,1,0,24.040292017161846,24.040292017161846,24.040292017161846,24.040292017161846,138.0
1699222766,22,GET,/api/v0/teas/8689,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,31.177124998066574,31.177124998066574,31.177124998066574,31.177124998066574,128.0
1699222766,22,GET,/api/v0/teas/9794,0.111111,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222766,22,GET,/api/v0/teas/996,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,32.642042002407834,32.642042002407834,32.642042002407834,32.642042002407834,129.0
1699222766,22,POST,/api/v0/unsubscribe,0.111111,0.000000,13,13,13,13,13,13,13,13,13,13,13,2,0,10.054749989649281,11.773020989494398,10.054749989649281,13.491291989339516,22.0
1699222766,22,,Aggregated,4.444444,0.000000,23,30,35,38,47,100,110,120,120,120,120,63,0,24,30.827027062297844,8.0713749921415,117.97158300760202,1549.6507936507937
1699222767,24,POST,/api/v0/customer,0.100000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.637375028338283,13.637375028338283,13.637375028338283,13.637375028338283,10346.0
1699222767,24,POST,/api/v0/subscribe,0.400000,0.000000,22,32,32,43,43,43,43,43,43,43,43,5,0,22,26.693666400387883,16.530875000171363,43.22395799681544,22.0
1699222767,24,GET,/api/v0/teas,2.600000,0.000000,23,28,34,35,40,100,120,120,120,120,120,39,0,23,30.859769152578874,11.216667015105486,117.97158300760202,2415.0
1699222767,24,GET,/api/v0/teas/1042,0.100000,0.000000,27,27,27,27,27,27,27,27,27,27,27,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0
1699222767,24,GET,/api/v0/teas/1436,0.100000,0.000000,9,9,9,9,9,9,9,9,9,9,9,1,0,9.215291996952146,9.215291996952146,9.215291996952146,9.215291996952146,127.0
1699222767,24,GET,/api/v0/teas/1598,0.100000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,37.86458299146034,37.86458299146034,37.86458299146034,37.86458299146034,128.0
1699222767,24,GET,/api/v0/teas/195,0.100000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,14.92308298475109,14.92308298475109,14.92308298475109,14.92308298475109,127.0
1699222767,24,GET,/api/v0/teas/2406,0.000000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,31.64620799361728,31.64620799361728,31.64620799361728,31.64620799361728,136.0
1699222767,24,GET,/api/v0/teas/2939,0.100000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
1699222767,24,GET,/api/v0/teas/3912,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,16.162624990101904,16.162624990101904,16.162624990101904,16.162624990101904,130.0
1699222767,24,GET,/api/v0/teas/4362,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,12.780166987795383,12.780166987795383,12.780166987795383,12.780166987795383,137.0
1699222767,24,GET,/api/v0/teas/5267,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,67.00783397536725,67.00783397536725,67.00783397536725,67.00783397536725,128.0
1699222767,24,GET,/api/v0/teas/5925,0.100000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222767,24,GET,/api/v0/teas/6599,0.100000,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222767,24,GET,/api/v0/teas/6955,0.100000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222767,24,GET,/api/v0/teas/7132,0.100000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
